상품명,카테고리,판매수량,판매단가,매출액,광고비,클릭수,노출수,전환수
프리미엄 히알루론산 세럼,스킨케어,1520,35000,53200000,4200000,18500,320000,1140
울트라 수분 크림,스킨케어,1280,42000,53760000,5100000,22000,410000,980
비타민C 브라이트닝 토너,스킨케어,2100,18000,37800000,2800000,15000,280000,1560
자연유래 클렌징 오일,클렌징,1750,24000,42000000,3500000,16200,295000,1320
리페어 나이트 크림,스킨케어,890,55000,48950000,6200000,25000,450000,720
딥 클렌징 폼,클렌징,3200,12000,38400000,1900000,12000,210000,2400
올인원 에센스,스킨케어,1100,38000,41800000,4800000,20000,370000,850
선크림 SPF50+,선케어,2800,22000,61600000,3800000,17500,310000,2100
제주 녹차 마스크팩(10매),마스크팩,4500,15000,67500000,2500000,13000,240000,3200
로즈힙 페이셜 오일,스킨케어,650,48000,31200000,5500000,23000,420000,510
시카 리커버리 밤,스킨케어,1400,28000,39200000,3200000,14500,260000,1050
AHA/BHA 필링 패드,스킨케어,1900,20000,38000000,2600000,11500,200000,1420
콜라겐 아이크림,스킨케어,780,45000,35100000,4500000,19000,350000,600
수딩 알로에 젤,바디케어,3500,9000,31500000,1200000,8000,150000,2600
레티놀 안티에이징 세럼,스킨케어,720,52000,37440000,5800000,24000,430000,560
